Place_name
地名名稱
雙流森林遊樂區
首都客運基隆站
綠地
山興里衛生室
皇家海洋商務旅館
7-ELEVEn跨海門市
潮境海洋中心
赤馬沙灘
花蓮縣慢性病防治所
審計部花蓮縣審計室
東華大學附設實驗國小
貓公溪生態休憩區遊客服務中心
秀林國小附幼
武德殿
國安郵局
拯民國小
澎湖國家風景區小池角石雕園區
秀林國小
綠地
星海灣渡假飯店
玉里分局春日派出所
梧棲第一市場
臺東分局東清派出所
臺鐵萬榮站
萬榮郵局
鳳林分局山興派出所
鳳林榮民醫院
中正國小
中原國小
重慶市場
水利署第九河川局
工業局美崙工業區服務中心
玉里榮民醫院長良分院
臺北榮民總醫院玉里分院
美崙工業區職業衛生促進中心
原住民終身學習協會
澎湖縣馬公市東衛國民小學
仁愛國小補校
國立馬公高級中學
國立澎湖高級海事水產職業學校
萬和宮
澎湖縣政府警察局望安分局
王爺廟或稱朱.李.池千歲廟
臺鐵多良觀光站
海岸巡美和安檢所
美崙山公園
疾管署東區管制中心
箭瑛公園
協進國小
杜姓宗祠
海巡署花蓮漁港安檢所
疾管署花蓮港檢疫辦公室
美崙山休閒運動公園
關務署花蓮分關
慈濟技術學院
中琉紀念公園
碧雲莊林芥公園
花蓮港警局
慈濟技術學院進修部
自強國中
海巡署花蓮商港安檢所
慈濟大學附屬高中國小部
移民署花蓮專勤隊
四維高中
花蓮分局民意派出所
海巡署第六海巡隊
花蓮榮譽國民之家
花蓮縣體育選手集訓中心
美崙林園公園
花蓮體中
花東縱谷風景區林榮休憩中心
生態公園
大禹國小
玉里分局大禹派出所
玉里鎮高寮社區幼兒園
高寮國小
玉里壘球場
觀音國小
觀音衛生室
玉里分局觀音派出所
花蓮縣消防局觀音分隊
玉東國中
臺鐵三民站
花蓮消防局三民分局
玉里分局三民派出所
松浦國小
松浦衛生室
三民國小
三民郵局
三民國中
海巡署美和安檢所
美和村衛生室
大武分局美和派出所
賓茂國中
臺鐵金崙站
大武山自然保留區管理站
大武分局多良派出所
大溪衛生室
臺東縣消防局達仁分隊
大溪國小
大溪國小附幼
臺鐵瀧溪站
大武山生態教育館
臺東縣消防局金峰分隊
海巡署三和安檢所
三和海濱公園
華源社區衛生室
大王國小附幼
大王國小
臺鐵太麻里站
海巡署香蘭安檢所
舊香蘭遺址
香蘭國小
香蘭國小附幼
台電太麻服務所
台水太麻里營運所
臺東縣消防局太麻里分隊
臺東縣消防局大武大隊
大武第二停車場
花蓮保養場臺灣省車輛動員委員會第
慈濟大學
花蓮地政所
臺鐵花蓮站
美崙山公園科博館
水保局花蓮分局
花蓮縣警察局婦幼警察隊
調查局東部地區機動工作站
花蓮縣警察局交通隊
花蓮縣動植物防疫所
鑄強國小
花蓮縣警察局少年隊
花蓮縣警察局保警大隊
美崙國中
花蓮環保局動力計排煙檢測站
航港局東部航務中心
台水九區處尚志淨水廠
海端鄉衛生所崁頂衛生室
崁頂國小附幼
加拿國小附幼
南田村衛生室
達仁鄉公所
台水十區處安朔淨水場
海巡署南田機動巡邏站
南濱公園
南濱觀光夜市
國光商工
美和國小
知本第二停車場
美和國小附幼
林試所太麻里研究中心
太麻里郵局
太麻里鄉代會
太麻里圖書館
太麻里衛生所
太麻里清潔隊
太麻里鄉公所
太麻里地政所
大王國中
八八水災紀念館
正興村衛生室
金峰鄉正興幼兒園
同富國小附幼
卡娃斯運動場
千秋國小
?里淨水廠
忠孝公園
海端鄉幼兒園
關山分局海端分駐所
海端郵局
達仁鄉代會
海岸巡大竹機動巡邏站
大鳥部落圖書資訊站
大鳥國小附幼
大鳥國小
臺東大鳥遊憩區
金龍湖遊憩區
大武國小附幼
大武國小
臺鐵大武站
大武國中
大武戶政所
大武濱海公園
大武分局交通事故專責處理小組
大武分局大武派出所
大武郵局
臺東林管處大武工作站
大武衛生所
大武氣象站
關山分局龍泉派出所
初來國小新武分校
海端鄉加拿托兒所
海端鄉示範公墓
利稻村衛生室
海巡署大武漁港安檢所
南興村衛生室
大武第一停車場
大武鄉旅遊服務中心
台水十區處大武給水站
台電大武服務所
大鳥村辦公室
霧鹿辦公處
霧鹿國小
霧鹿國小附幼
關山分局霧鹿派出所
霧鹿砲台公園
廣原國小
關山分局初來派出所
錦屏國小
錦屏國小附幼
廣原國小附幼
廣原村衛生室
向陽國家森林遊樂區遊客服務中心
關山分局向陽派出所
加拿國小附幼
加拿國小
霧鹿國小利稻分校
霧鹿國小利稻分校附幼
桃源國中
永康村衛生室
武陵村辦公處
武陵國小
關山分局武陵派出所
花東縱谷風景區紅葉溫泉遊憩區
紅葉溫泉親水公園
紅葉村衛生室
紅葉國小
關山分局紅葉派出所
大城郵局
線西國中
埔鹽鄉公所
永樂國小
海端衛生所
海端國小附幼
花蓮分局中正派出所
南京街郵局
澎湖縣湖西鄉民代表會
台村衛生室
太麻里第一市場
大武圖書館
尚武市場
大武漁港
西港國小
曉陽國小
南投縣政府稅務局
中央公園
臺東縣消防局延平分隊
延平郵局
榮民總醫院玉里醫療園區
玉里國小附幼
玉里國小永昌分校
花蓮地院玉里簡易庭
花蓮縣南區服務中心
玉里地政所
花蓮林管處玉里工作站
卓溪運動公園
卓溪圖書館
玉里高中
卓溪戶政所
卓溪鄉代會
卓溪國小
卓溪郵局
卓溪衛生所
衛福部玉里醫院祥和院區
玉里分局卓溪分駐所
卓溪鄉公所
花蓮監理站玉里分站
衛福部玉里醫院
臺北榮民總醫院玉里分院
榮民總醫院玉里康復之家
台水九區處玉里營運所
玉里鎮璞石藝術館
勞動署玉里就業中心
花蓮縣消防隊第三大隊
卓溪國小附幼
東豐旅客服務中心
東豐休閒農場露營區
衛福部東區老人之家養護院區
海星高中國中部
海星高中
巴耐公園
空大附設進修學校
空大花蓮學習指導中心
嘉新社區公園
嘉新衛生室
福德公園
嘉里國小
新城分局嘉里派出所
新城鄉幼兒園嘉里分班
龍泉親水生態園區
海巡署東巡局第八三岸巡大隊勤務中
新城清潔隊
新城鄉幼兒園北埔分班
康樂國小附幼
康樂國小
海巡署康樂安檢所
海巡署第八三岸巡大隊
農業局加灣林務所
海巡署沙東安檢所
海巡署順安安檢所
秀林國中
新城郵局
花蓮林管處新城工作站
新城分局新城派出所
花蓮縣警察局新城分局
花蓮縣消防局新城分隊
新城分局刑事偵查隊
臺鐵新城站
新城國小
新城公園
中華工商附設職業訓練中心
中華工商
宜昌國中
中華工商進修學校
吉安親水公園
吉安鄉調解會
花蓮縣消防局吉安鄉災害應變中心
吉安鄉樂學中心
吉安鄉村聯合辦公室
吉安鄉代會
吉安鄉社會福利館
吉安鄉公所
吉安圖書館
吉安戶政所
花蓮縣消防局吉安分隊
吉安國小
原住民文化會館
安平樹屋
安平港國家歷史風景區
原英商德記洋行
海山館
安平路600巷55弄臨時免費公有停車場
安北路歷史水景公園停車場
石門公園
體育公園
安北路停車場
安平市場
