長庚一街
其他道路
龍興街
龍校街
石磊道路
工興街
無路名道路
國光路
龍泉街
豐美街
三龍街
壽山路
宏慶街
南豐街
復興三路
露峰道路
弘揚路
正光二街
南豐路
吉林三路
青年路
土地公農路
大觀路
樂群街
民生路
敬業街
榮工北路
大觀路一段
工一路
民光東路
福壽街
永康街
興溪道路
馬美道路
民族路
五龍街
金龍二街
工業西路
榮安十三街
大有路
大興四街
中興路
龍元路
中山西路二段
五青路
環中東路
龍安六街
成功路三段
建國路
梅獅路
富山一街
國園一街
華亞一路
優美街
國園街
集美街
宏昇街
文化北路
永樂街
鎮一街
下湖路
東興街
鎮三街
鎮撫街
北埔路
光興街
正康二街
慈德街
明德路
長安路一段
南工路一段
福元街
同安街
工業六路
富宏街
復興南路
仁愛路
內溪路
文德二路
龍泉二街
五福五街
春日路1096巷
安慶街
華美街
西舊路
華愛街
錦秀街
中寧街
向善街
興二街
幸福二十五街
新嶺一街
愛二街
莊一街
頂湖二街
茶專路
國豐五街
龍鳳三街
新南路二段
福祿一街
五福六路
華勛街
永祥街
大興路
榮興路
慈光街
保羅街
中埔五街
新埔六街
同德五街
同德十一街
愛十街
光安街
復興一路
文化南路
中和路
中和南路
中原街
永安街
興一街
大業路二段
公園路
福德路
永福路
南華街
中華路
榮安一街
忠勇街
遠東路
東勇北路
德壽街
頂興路
三元三街
壽福街
德壽二街
朝陽街
國強一街
崁頂路
開隆街
高城三街
高城八街
中山北路
埔仁路
陽明十二街
樹仁二街
建新街
建安街
宏福巷
大誠路
自強南路
幸福路
中華街一段
民權路
永定一街
中山路
中山東路
永福街一段
豐田街
樹德路
青田街
東一路
三民路三段
大圳腳路
建興路
福樂街
和平街
興中街
正興街
文華巷
上海路
福山一路
泰昌三街
明成街
自強西路
大成街
永福街
永福西街
宏遠路
武漢路
陸光街
南坑道路
健行路
隘寮路
成章二街
後寮一路
光復路
廣豐街63巷
湧光路
瑞美路
高獅路863巷
華興路
光明路
經建一路
經建三路
工業三路
經建五路
國建三路
復明三街
大智路
興華路
文全街
文光街
三和路
大新二街
大興十四街
大工路
新生路
環中路
幸美街
忠一路
信二街
信一街
新生北路
忠孝一街
忠孝二街
和平二街
中正一街
和平一街
和平東路
大新一街
大新三街
復興街
中山路二段
大華街
新福街
泰安街
吉祥街
經建二路
信義街
中興街
民安路
中正三街
工業九路
經建四路
工業一路
經建六路
經建七路
二聖路
九如一街
五福街
三多街
九如二街
八德四街
五福二街
大觀路二段
中興四街
興邦路
民安街
萬全街
永美街
三和街
南豐三街
漢中路
南北七路
南北八路
大興八街
明德街
南坑路
中油街
國建一路
國建二路
長春街
三民路
八德三街
四維路
四維一街
四維二街
四維三街
園二街
坤成街
文山街
文安街
文善街
自立一街
自立二街
新生街
永吉街
安和街
忠孝三街
中正東路
大業路一段
三元街
自強路
寶慶路
忠誠街
忠孝街
敬三街
仁德街
福山街
民富九街
廟農路
金海街
長春路
國興街
國華街
峨眉一街
大同街
仁善路
忠三路
忠二路
永定二街
福僑街
廣隆街
長生路
文昌街
館後一街
長沙街
